Timestamp,What is your gender,Year of graduation,Title of course studied,Polytechnic/University attended,What is your highest level of education?,What best describes your current status?,How many jobs have you had since graduation including your current one?,Have you completed your NYSC?,"If you answered yes/ongoing to the previous question, what year did you (or will you) complete your NYSC?",Did you get your first full time job through your NYSC placement?,"Thinking about your first employment after graduation, what was your job level?",What is/was your job role?,"What sector/industry is your company in? (E.g. Banking, Agriculture, Telecommunication)","Still thinking about your first employment, what is/was your monthly income level?","Did you need your higher education qualification to get your first job (the actual qualification, not the subject of study)?",What was the most significant reason for deciding to take your first job?,"Thinking about your current employment, what is your job level?",What is your job role?,"What sector/industry is your company in? (E.g. Banking, Agriculture, Telecommunication)",What is your current monthly income level?,"Did you need your higher education qualification to get this job (the actual qualification, not the subject of study)?","Did you need your higher education qualification to get this job (the actual qualification, not the subject of study)?","Did you need your higher education qualification to get this job (the actual qualification, not the subject of study)?","Did you need your higher education qualification to get this job (the actual qualification, not the subject of study)?","Did you need your higher education qualification to get this job (the actual qualification, not the subject of study)?","Did you need your higher education qualification to get this job (the actual qualification, not the subject of study)?","Did you need your higher education qualification to get this job (the actual qualification, not the subject of study)?","As far as you are aware, what was most important to your current employer about your qualification?",How do you find out about your job(s)?,"Thinking about your current employment, did you work for your employer before or during your  higher education study?",Which form of transport do you use the most?,Were you able to rent an apartment or buy a car from the salary you got from your first job?,My course of study prepared me well for employment,My course of study prepared me well for further studies,Which of these skills/knowledge did your higher education prepare you for?
3/2/2018 7:09,Female,2017,Mass Communication (Communication and Language Arts),Covenant University Ota,Bachelor's degree,Youth Corper (NYSC),1,No,,No,,,,,,,Clerical and administrative,Data Entry,Banking / Financial Services,"‎₦50,000 - ‎₦99,999",No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,The level of study,"Personal contacts, including family and friends",No,Commercial Vehicles,No,Disagree,Disagree,Knowledge of the skill(s) you are studying
3/2/2018 7:11,Male,2015,Civil Engineering,Covenant University Ota,Bachelor's degree,Self-employed/freelance/entrepreneur,0,Yes,2016,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/2018 7:11,Female,2017,Sociology/Anthropology,"Gregory University, Uturu",Bachelor's degree,"Taking time out to prepare for further studies, GMAT, professional exams",0,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/2018 7:15,Female,2017,Microbiology,Covenant University Ota,Bachelor's degree,Youth Corper (NYSC),0,Ongoing,2018,No,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/2018 7:22,Female,2017,Mass Communication (Communication and Language Arts),Covenant University Ota,Bachelor's degree,Working full time (paid employment),1,No,,No,,,,,,,Experience/Professional,Marketing,Media,"‎₦20,000 - ‎₦49,999",Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,The subject(s) I studied,"Personal contacts, including family and friends",No,BRT,No,Agree,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying"
3/2/2018 7:31,Female,2014,Civil Engineering,Covenant University Ota,Bachelor's degree,Working full time (paid employment),3,Yes,2015,Yes,Entry level,Teacher,Engineering,"‎₦20,000 - ‎₦49,999",Yes: the qualification was a formal requirement,To gain and broaden my experience in order to get the type of job I really want,Experience/Professional,Civil Engineer,Engineering,"‎₦50,000 - ‎₦99,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,The subject(s) I studied,Media (e.g. newspaper/magazine advertisement),Yes: during my higher education study,Keke Marwa/Napep/Tricycle,No,Agree,Agree,Ability to solve complex problems
3/2/2018 7:34,Male,2017,Computer Science,Covenant University Ota,Bachelor's degree,Youth Corper (NYSC),2,Ongoing,2018,No,Entry level,Software Developer,Technology,"‎₦20,000 - ‎₦49,999",Yes: the qualification was a formal requirement,To gain and broaden my experience in order to get the type of job I really want,Entry level,Teacher,Education,"Under ‎₦20,000",No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No one thing was important,Social media/professional networking sites,No,Commercial Vehicles,No,Agree,Strongly Agree,Ability to solve complex problems
3/2/2018 7:50,Female,2017,Microbiology,Covenant University Ota,Bachelor's degree,Youth Corper (NYSC),0,Ongoing,2018,No,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/2018 7:50,Female,2017,Management Information System,Covenant University Ota,Bachelor's degree,Youth Corper (NYSC),0,Ongoing,2018,No,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/2018 8:01,Male,2017,Management Information System,Covenant University Ota,Bachelor's degree,Youth Corper (NYSC),1,Ongoing,2018,Yes,,,,,,,Entry level,Customer Service,Technology,"‎₦50,000 - ‎₦99,999",Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,No one thing was important,"Personal contacts, including family and friends",No,Commercial Vehicles,No,Agree,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills"
3/2/2018 8:03,Female,2017,Computer Science,Covenant University Ota,Bachelor's degree,Youth Corper (NYSC),1,Ongoing,2018,No,,,,,,,Entry level,Front-End Developer,Technology,"‎₦20,000 - ‎₦49,999",No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,The subject(s) I studied,Internship,Yes: during my higher education study,BRT,No,Strongly Agree,Strongly Agree,"Ability to solve complex problems, Ability to work with others, Spoken communication skills"
3/2/2018 8:12,Female,2017,Banking and Finance,Covenant University Ota,Bachelor's degree,Youth Corper (NYSC),0,Ongoing,2018,No,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/2018 8:12,Male,2013,Zoology,Olabisi Onabanjo University Ago-Iwoye,Bachelor's degree,Working full time (paid employment),1,Yes,2015,No,,,,,,,Entry level,Data Entry,NGO,"‎₦100,000 - ‎₦149,999",No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,Don't know,Social media/professional networking sites,No,Commercial Vehicles,No,Agree,Agree,Critical thinking skills
3/2/2018 8:17,Male,2017,Management Information System,Covenant University Ota,Bachelor's degree,Youth Corper (NYSC),1,Ongoing,2018,Yes,,,,,,,Managerial,Business Developer,Consulting,"‎₦20,000 - ‎₦49,999",No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,The subject(s) I studied,Media (e.g. newspaper/magazine advertisement),Yes: during my higher education study,Commercial Vehicles,No,Agree,Agree,"Ability to work with others, Written communication skills"
3/2/2018 8:17,Male,2017,Physics and Astronomy,Covenant University Ota,Bachelor's degree,Youth Corper (NYSC),0,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/2018 8:31,Female,2015,Business Administration,"Niger Delta Unversity, Yenagoa",Bachelor's degree,Doing something else (e.g. looking after home or family),0,Yes,2017,No,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/2018 8:42,Male,2017,Electrical & Electronic Engineering,Covenant University Ota,Bachelor's degree,Youth Corper (NYSC),0,Ongoing,2018,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/2018 8:44,Female,2017,Biochemistry,Covenant University Ota,Bachelor's degree,Youth Corper (NYSC),1,Ongoing,2018,No,,,,,,,Entry level,Teacher,Education,"‎₦20,000 - ‎₦49,999",No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No one thing was important,Social media/professional networking sites,No,Commercial Vehicles,No,Strongly Agree,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Spoken communication skills"
3/2/2018 8:46,Female,2017,Economics,Covenant University Ota,Bachelor's degree,Youth Corper (NYSC),1,Ongoing,2018,No,,,,,,,Entry level,Finance/Accounting,Government / Defence,"Under ‎₦20,000",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,That it was under the NYSC scheme,Media (e.g. newspaper/magazine advertisement),No,Motorcycle,No,Agree,Agree,Ability to work with others
3/2/2018 8:49,Male,2017,Electrical & Electronic Engineering,Covenant University Ota,Bachelor's degree,Youth Corper (NYSC),1,Ongoing,2018,No,,,,,,,Entry level,Operations Manager,Engineering,"‎₦20,000 - ‎₦49,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,The level of study,Social media/professional networking sites,No,Commercial Vehicles,No,Agree,Agree,"Critical thinking skills, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying"
3/2/2018 8:49,Female,2013,Mass Communication (Communication and Language Arts),Covenant University Ota,Bachelor's degree,Working full time (paid employment),1,Yes,2014,No,,,,,,,Entry level,Customer Service,Construction / Real Estate,"‎₦50,000 - ‎₦99,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,grade,Social media/professional networking sites,No,Keke Marwa/Napep/Tricycle,No,Strongly Agree,Strongly Agree,Ability to work with others
3/2/2018 9:01,Female,2013,Accountancy,Covenant University Ota,Bachelor's degree,Working full time (paid employment),2,Yes,2014,No,Entry level,Finance/Accounting,Banking / Financial Services,"‎₦20,000 - ‎₦49,999",Yes: the qualification was a formal requirement,It was the only job offer I received,Entry level,Customer Service,Banking / Financial Services,"‎₦100,000 - ‎₦149,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,The level of study,"Personal contacts, including family and friends",No,Car,No,Agree,Agree,Knowledge of the skill(s) you are studying
3/2/2018 9:18,Male,2016,Electrical & Electronic Engineering,"Osun State University, Oshogbo",Bachelor's degree,Self-employed/freelance/entrepreneur,1,Ongoing,2018,No,,,,,,,Entry level,Public Relations,Healthcare,"‎₦50,000 - ‎₦99,999",Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,IT/SIWES/Internship experience (gained as part of my course),Recruitment agency/Online job site,No,Commercial Vehicles,No,Agree,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Knowledge of the skill(s) you are studying"
3/2/2018 9:24,Female,2017,Business Administration,Covenant University Ota,Bachelor's degree,Youth Corper (NYSC),1,Ongoing,2018,No,,,,,,,Entry level,Teacher,Education,"‎₦20,000 - ‎₦49,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,The subject(s) I studied,Media (e.g. newspaper/magazine advertisement),No,Motorcycle,No,Agree,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying"
3/2/2018 9:29,Female,2017,Architecture,Covenant University Ota,Bachelor's degree,Youth Corper (NYSC),2,Ongoing,2017,No,Entry level,Architect,Others,"‎₦20,000 - ‎₦49,999",Yes: the qualification was a formal requirement,It was an opportunity to progress in the organisation,Entry level,Architect,Creatives/Art/Design,"Under ‎₦20,000",Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,IT/SIWES/Internship experience (gained as part of my course),"Personal contacts, including family and friends",No,Commercial Vehicles,No: From my current job,Strongly Agree,Strongly Agree,Ability to solve complex problems
3/2/2018 9:39,Male,2017,Economics,Covenant University Ota,Bachelor's degree,"Engaged in part-time further study, training or research",1,No,,No,,,,,,,Clerical and administrative,IT Support,Technology,"‎₦20,000 - ‎₦49,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,IT/SIWES/Internship experience (gained as part of my course),"Personal contacts, including family and friends",No,Commercial Vehicles,No,Agree,Strongly Agree,Ability to solve complex problems
3/2/2018 9:43,Male,2013,Civil Engineering,Covenant University Ota,Master's degree,Working full time (paid employment),1,Yes,2014,No,,,,,,,Entry level,Civil Engineer,Oil & Gas / Mining,"‎₦50,000 - ‎₦99,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,The subject(s) I studied,Recruitment agency/Online job site,No,Motorcycle,Yes: From my first job,Strongly Agree,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Knowledge of the skill(s) you are studying"
3/2/2018 9:47,Male,2014,Building,Covenant University Ota,Bachelor's degree,Working full time (paid employment),4,Yes,2015,No,Entry level,Sales,Construction / Real Estate,"‎₦20,000 - ‎₦49,999",Yes: the qualification was a formal requirement,In order to earn a living/pay off debts,Entry level,Estate Management,Construction / Real Estate,"‎₦20,000 - ‎₦49,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,IT/SIWES/Internship experience (gained as part of my course),"Personal contacts, including family and friends",No,Commercial Vehicles,No,Strongly Disagree,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying"
3/2/2018 10:04,Male,2016,Electrical & Electronic Engineering,Covenant University Ota,Bachelor's degree,Unemployed,0,Yes,2017,No,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/2018 10:27,Female,2017,Architecture,Covenant University Ota,Bachelor's degree,"Engaged in full-time further study, training or research",0,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/2018 10:38,Male,2014,Computer Engineering,Covenant University Ota,Bachelor's degree,Self-employed/freelance/entrepreneur,3,Yes,2015,No,Entry level,Sales,Telecommunications,"Under ‎₦20,000",No: the qualification was not required,It was the only job offer I received,Executive Director,Operations Manager,Food Services,"‎₦100,000 - ‎₦149,999",Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Yes: while the qualification was not a formal requirement it did give me an advantage,Passion,"Personal contacts, including family and friends",Yes: during my higher education study,Commercial Vehicles,No,Agree,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills"
3/2/2018 10:56,Male,2013,Computer Science,Covenant University Ota,Bachelor's degree,Working full time (paid employment),1,Yes,2015,No,,,,,,,Experience/Professional,IT Support,Telecommunications,"‎₦100,000 - ‎₦149,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,IT/SIWES/Internship experience (gained as part of my course),Internship,Yes: during my higher education study,Car,No,Strongly Disagree,Agree,None of the above
3/2/2018 10:58,Male,2015,Psychology,University of Ibadan,Bachelor's degree,Working full time (paid employment),2,Yes,2017,Yes,Entry level,"Doctor, Nursing And Other Medical Related Roles",Healthcare,"‎₦20,000 - ‎₦49,999",Yes: the qualification was a formal requirement,To see if I would like the type of work it involved,Entry level,Business Analyst,Consulting,"‎₦150,000 - ‎₦199,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,IT/SIWES/Internship experience (gained as part of my course),Media (e.g. newspaper/magazine advertisement),No,Commercial Vehicles,No,Strongly Disagree,Strongly Disagree,"Ability to work with others, Spoken communication skills"
3/2/2018 10:59,Male,2015,Physics and Astronomy,Covenant University Ota,Bachelor's degree,Working full time (paid employment),1,Yes,2016,Yes,,,,,,,Entry level,Event Management,Others,"‎₦20,000 - ‎₦49,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,The level of study,"Personal contacts, including family and friends",No,Commercial Vehicles,No,Strongly Disagree,Strongly Agree,"Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying"
3/2/2018 11:12,Male,2014,Business Management,"Enugu State University of Science and Technology, Enugu",Bachelor's degree,Working full time (paid employment),2,Yes,2016,No,Entry level,Business Developer,Banking / Financial Services,"‎₦50,000 - ‎₦99,999",Yes: the qualification was a formal requirement,It was the best job offer I received,Entry level,Business Developer,Consulting,"‎₦50,000 - ‎₦99,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,The level of study,"Personal contacts, including family and friends",No,Keke Marwa/Napep/Tricycle,Yes: From my first job,Strongly Agree,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying"
3/2/2018 11:13,Male,2016,Architecture,"Abubakar Tafawa Balewa University, Bauchi",Bachelor's degree,Self-employed/freelance/entrepreneur,2,Yes,2017,No,Managerial,Architect,Construction / Real Estate,"‎₦150,000 - ‎₦199,999",No: the qualification was not required,It fitted into my career plan/it was exactly the type of work I wanted,Managerial,Architect,Construction / Real Estate,"‎₦200,000 - ‎₦249,999",No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,IT/SIWES/Internship experience (gained as part of my course),Media (e.g. newspaper/magazine advertisement),Yes: before my higher education,Car,Yes: From my first job,Agree,Disagree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying"
3/2/2018 11:26,Male,2013,Computer Science,"Grace Polytechnic, Surulere, Lagos State.",Higher National Diploma (HND),Working full time (paid employment),1,Yes,2014,No,,,,,,,Experience/Professional,IT Support,Oil & Gas / Mining,"‎₦100,000 - ‎₦149,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Don't know,"Personal contacts, including family and friends",No,Commercial Vehicles,No,Agree,Strongly Disagree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Knowledge of the skill(s) you are studying"
3/2/2018 11:31,Female,2015,Mass Communication (Communication and Language Arts),Covenant University Ota,Bachelor's degree,Unemployed,0,Yes,2016,No,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/2018 11:48,Male,2017,Marketing,Covenant University Ota,Bachelor's degree,Working full time (paid employment),2,No,2019,No,Entry level,Social Media/Digital Marketing,Advertising / Marketing / Comms,"‎₦20,000 - ‎₦49,999",Yes: the qualification was a formal requirement,It fitted into my career plan/it was exactly the type of work I wanted,Clerical and administrative,Content Creator/Content Writer/ Content Developer,Advertising / Marketing / Comms,"‎₦20,000 - ‎₦49,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,The subject(s) I studied,"Personal contacts, including family and friends",No,Car,No,Agree,Strongly Agree,"Critical thinking skills, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying"
3/2/2018 11:54,Male,2017,Economics,"Babcock University,Ilishan-Remo",Bachelor's degree,Youth Corper (NYSC),1,No,2018,Yes,,,,,,,Entry level,Finance/Accounting,Banking / Financial Services,"‎₦50,000 - ‎₦99,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,The subject(s) I studied,Media (e.g. newspaper/magazine advertisement),No,BRT,No,Agree,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying"
3/2/2018 11:55,Male,2017,Economics,"Babcock University,Ilishan-Remo",Bachelor's degree,Youth Corper (NYSC),2,No,2018,No,Executive Director,Operations Manager,Retail / Wholesales,"‎₦20,000 - ‎₦49,999",Yes: the qualification was a formal requirement,It was the best job offer I received,Experience/Professional,Teacher,Education,"Under ‎₦20,000",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,IT/SIWES/Internship experience (gained as part of my course),Media (e.g. newspaper/magazine advertisement),Yes: during my higher education study,Commercial Vehicles,No,Agree,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others"
3/2/2018 12:07,Male,2016,Computer Science,University of Benin,Bachelor's degree,Youth Corper (NYSC),2,Ongoing,2018,Yes,Experience/Professional,Data Entry,Media,"Under ‎₦20,000",No: the qualification was not required,To gain and broaden my experience in order to get the type of job I really want,Experience/Professional,Content Creator/Content Writer/ Content Developer,Media,"Under ‎₦20,000",No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,IT/SIWES/Internship experience (gained as part of my course),Social media/professional networking sites,Yes: before my higher education,Commercial Vehicles,No,Agree,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Knowledge of the skill(s) you are studying"
3/2/2018 12:10,Female,2014,Estate Management,Covenant University Ota,Bachelor's degree,"Engaged in full-time further study, training or research",0,No,2018,No,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/2018 12:10,Female,2017,Economics,"Babcock University,Ilishan-Remo",Bachelor's degree,Youth Corper (NYSC),1,Ongoing,2018,Yes,,,,,,,Entry level,Finance/Accounting,NGO,"‎₦20,000 - ‎₦49,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Don't know,"Personal contacts, including family and friends",Yes: during my higher education study,Keke Marwa/Napep/Tricycle,Yes: From my first job,Agree,Strongly Agree,"Critical thinking skills, Ability to work with others, Written communication skills, Spoken communication skills"
3/2/2018 12:19,Male,2017,Economics,"Babcock University,Ilishan-Remo",Bachelor's degree,Youth Corper (NYSC),1,Ongoing,2018,No,,,,,,,Clerical and administrative,Data Entry,Power/Energy,"‎₦20,000 - ‎₦49,999",No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No one thing was important,Social media/professional networking sites,No,Keke Marwa/Napep/Tricycle,No,Disagree,Agree,None of the above
3/2/2018 12:41,Male,2017,Electrical & Electronic Engineering,Covenant University Ota,Bachelor's degree,Youth Corper (NYSC),1,Ongoing,,Yes,,,,,,,Entry level,Business Analyst,Insurance,"‎₦50,000 - ‎₦99,999",No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,No: the qualification was not required,The subject(s) I studied,Internship,No,Commercial Vehicles,No,Agree,Disagree,"Critical thinking skills, Ability to solve complex problems"
3/2/2018 13:02,Female,2013,Statistics,Covenant University Ota,Bachelor's degree,Working full time (paid employment),2,Yes,2014,No,Entry level,Data Entry,NGO,"‎₦20,000 - ‎₦49,999",Yes: the qualification was a formal requirement,To gain and broaden my experience in order to get the type of job I really want,Entry level,Sales,Banking / Financial Services,"‎₦250,000 and more",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,The level of study,Social media/professional networking sites,No,Car,No,Strongly Agree,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills"
3/2/2018 13:06,Male,2017,Political Science,"Adekunle Ajasin University, Akungba.",Bachelor's degree,Youth Corper (NYSC),1,Ongoing,2018,Yes,,,,,,,Clerical and administrative,Data Entry,Education,"Under ‎₦20,000",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,The level of study,"University/polytechnic (e.g. Careers Service, lecturer, website)",No,Commercial Vehicles,No,Strongly Agree,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying"
3/2/2018 13:21,Female,2017,Industrial Relations and Personnel Management,Covenant University Ota,Bachelor's degree,Youth Corper (NYSC),3,Ongoing,,No,Clerical and administrative,Human Resources,FMCG,"‎₦50,000 - ‎₦99,999",Yes: the qualification was a formal requirement,It fitted into my career plan/it was exactly the type of work I wanted,Clerical and administrative,Human Resources,FMCG,"‎₦100,000 - ‎₦149,999",Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,Yes: the qualification was a formal requirement,The level of study,"Personal contacts, including family and friends",No,Commercial Vehicles,No,Strongly Agree,Strongly Agree,Ability to solve complex problems
